state,date,new_cases,avg_cases,total_cases,recent_new,color
Arizona,2021-01-03,17222,9036.714285714286,868830,8842.142857142857,orange
Arizona,2021-01-04,5158,9222.0,868830,8132.285714285715,orange
Arizona,2021-01-05,10134,10268.42857142857,868830,8732.57142857143,orange
Arizona,2021-01-06,6947,10391.142857142857,868830,9036.714285714286,orange
Arizona,2021-01-07,9760,8880.285714285714,868830,9222.0,orange
Arizona,2021-01-08,13763,9461.285714285714,868830,10268.42857142857,orange
Arizona,2021-01-09,9754,9580.42857142857,868830,10391.142857142857,orange
Arizona,2021-01-10,6646,9294.285714285714,868830,8880.285714285714,orange
Arizona,2021-01-11,9225,9309.0,868830,9461.285714285714,orange
Arizona,2021-01-12,10968,8635.857142857143,868830,9580.42857142857,orange
Arizona,2021-01-13,4944,8333.42857142857,868830,9294.285714285714,orange
Arizona,2021-01-14,9863,7905.142857142857,868830,9309.0,orange
Arizona,2021-01-15,9051,7358.714285714285,868830,8635.857142857143,orange
Arizona,2021-01-16,7637,6755.571428571428,868830,8333.42857142857,orange
Arizona,2021-01-17,3648,7146.142857142857,868830,7905.142857142857,orange
Arizona,2021-01-18,5400,7100.428571428572,868830,7358.714285714285,orange
Arizona,2021-01-19,6746,6810.857142857143,868830,6755.571428571428,orange
Arizona,2021-01-20,7678,6765.571428571428,868830,7146.142857142857,orange
Arizona,2021-01-21,9543,6956.0,868830,7100.428571428572,orange
Arizona,2021-01-22,7024,6992.714285714285,868830,6810.857142857143,orange
Arizona,2021-01-23,7320,6940.714285714285,868830,6765.571428571428,orange
Arizona,2021-01-24,4981,6699.0,868830,6956.0,orange
Arizona,2021-01-25,5657,6103.857142857143,868830,6992.714285714285,orange
Arizona,2021-01-26,6382,5787.714285714285,868830,6940.714285714285,orange
Arizona,2021-01-27,5986,5490.571428571428,868830,6699.0,orange
Arizona,2021-01-28,5377,5143.142857142857,868830,6103.857142857143,orange
Arizona,2021-01-29,4811,4889.571428571428,868830,5787.714285714285,orange
Arizona,2021-01-30,5240,4547.428571428572,868830,5490.571428571428,orange
Arizona,2021-01-31,2549,4099.714285714285,868830,5143.142857142857,orange
Arizona,2021-02-01,3882,3951.4285714285716,868830,4889.571428571428,orange
Arizona,2021-02-02,3987,3750.1428571428573,868830,4547.428571428572,orange
Arizona,2021-02-03,2852,3453.285714285714,868830,4099.714285714285,orange
Arizona,2021-02-04,4339,3185.1428571428573,868830,3951.4285714285716,orange
Arizona,2021-02-05,3402,2967.285714285714,868830,3750.1428571428573,orange
Arizona,2021-02-06,3162,3156.4285714285716,868830,3453.285714285714,orange
Arizona,2021-02-07,672,2996.285714285714,868830,3185.1428571428573,orange
Arizona,2021-02-08,2357,2722.714285714286,868830,2967.285714285714,orange
Arizona,2021-02-09,5311,2455.1428571428573,868830,3156.4285714285716,orange
Arizona,2021-02-10,1731,2270.5714285714284,868830,2996.285714285714,orange
Arizona,2021-02-11,2424,2380.714285714286,868830,2722.714285714286,orange
Arizona,2021-02-12,1529,2230.8571428571427,868830,2455.1428571428573,orange
Arizona,2021-02-13,1870,1629.142857142857,868830,2270.5714285714284,orange
Arizona,2021-02-14,1443,1638.5714285714287,868830,2380.714285714286,orange
Arizona,2021-02-15,1308,1494.7142857142858,868830,2230.8571428571427,orange
Arizona,2021-02-16,1099,1544.7142857142858,868830,1629.142857142857,orange
Arizona,2021-02-17,1797,1581.2857142857142,868830,1638.5714285714287,orange
Arizona,2021-02-18,1417,1530.0,868830,1494.7142857142858,orange
Arizona,2021-02-19,1879,1579.142857142857,868830,1544.7142857142858,orange
Arizona,2021-02-20,2126,1659.4285714285713,868830,1581.2857142857142,orange
Arizona,2021-02-21,1084,1558.857142857143,868830,1530.0,orange
Arizona,2021-02-22,1652,1534.2857142857142,868830,1579.142857142857,orange
Arizona,2021-02-23,1661,1472.5714285714287,868830,1659.4285714285713,orange
Arizona,2021-02-24,1093,1310.142857142857,868830,1558.857142857143,orange
